Fixture,Optics,Wattage,Unit,Circuit,Channel,Groups,Patch,DMX Mode,DMX Channles,Layer,Focus,Filters,Gobos,Accessories,Purpose,Note,Weight,Location,Position X,Position Y,Position Z,Rotation X,Rotation Y,Rotation Z,Focus,Pan,Focus Tilt,Invert Pan,Pan Start Limit,Pan End Limit,Invert Tilt,Tilt Start Limit,Tilt End Limit,Identifier,External Identifier
2 Dimmer 00,CP60,1000W,10' ETC 1,,1,,1,1,1,Fénypáholy,,,,,,-,1.8kg,Location,-0.9m,-21.742m,9.762m,72.193°,0°,-0°,,0°,0°,No,0,0,No,0°,0°,,4ab60794-085d-4f7c-a116-297c3a81b37b
2 Dimmer 00,CP60,1000W,10' ETC 2,,2,,2,1,1,Fénypáholy,,,,,,-,1.8kg,Location,-0.337m,-21.742m,9.762m,72.193°,0°,-0°,,0°,0°,No,0,0,No,0°,0°,,4ab60794-085d-4f7c-a116-297c3a81b37b
2 Dimmer 00,CP60,1000W,10' ETC 3,,3,,3,1,1,Fénypáholy,,,,,,-,1.8kg,Location,0.254m,-21.742m,9.762m,72.193°,0°,-0°,,0°,0°,No,0,0,No,0°,0°,,4ab60794-085d-4f7c-a116-297c3a81b37b
2 Dimmer 00,CP60,1000W,10' ETC 4,,4,,4,1,1,Fénypáholy,,,,,,-,1.8kg,Location,0.821m,-21.742m,9.762m,72.193°,0°,-0°,,0°,0°,No,0,0,No,0°,0°,,4ab60794-085d-4f7c-a116-297c3a81b37b
2 Dimmer 00,CP60,1000W,Pani 79,,79,,121,1,1,Fénypáholy,,,,,,-,1.8kg,Location,-0.55m,-22.856m,11.935m,66.463°,0°,-0°,,0°,0°,No,0,0,No,0°,0°,,4ab60794-085d-4f7c-a116-297c3a81b37b
2 Dimmer 00,CP60,1000W,Pani 80,,80,,126,1,1,Fénypáholy,,,,,,-,1.8kg,Location,0.55m,-22.856m,11.935m,66.463°,0°,-0°,,0°,0°,No,0,0,No,0°,0°,,4ab60794-085d-4f7c-a116-297c3a81b37b
2 Dimmer 00,CP60,1000W,Pani 81,,81,,123,1,1,Fénypáholy,,,,,,-,1.8kg,Location,-1.14m,-22.856m,11.935m,66.463°,0°,-0°,,0°,0°,No,0,0,No,0°,0°,,4ab60794-085d-4f7c-a116-297c3a81b37b
2 Dimmer 00,CP60,1000W,Pani 82,,82,,124,1,1,Fénypáholy,,,,,,-,1.8kg,Location,1.101m,-22.856m,11.935m,66.463°,0°,-0°,,0°,0°,No,0,0,No,0°,0°,,4ab60794-085d-4f7c-a116-297c3a81b37b
2 Dimmer 00,CP60,1000W,Pani 83,,83,,125,1,1,Fénypáholy,,,,,,-,1.8kg,Location,-1.651m,-22.856m,11.935m,66.463°,0°,-0°,,0°,0°,No,0,0,No,0°,0°,,4ab60794-085d-4f7c-a116-297c3a81b37b
2 Dimmer 00,CP60,1000W,Pani 84,,84,,122,1,1,Fénypáholy,,,,,,-,1.8kg,Location,1.651m,-22.856m,11.935m,66.463°,0°,-0°,,0°,0°,No,0,0,No,0°,0°,,4ab60794-085d-4f7c-a116-297c3a81b37b
2 Dimmer 00,CP60,1000W,19' ETC 5,,5,,5,1,1,Páholy,,,,,,-,1.8kg,Location,-6.643m,-11.911m,7.516m,42.399°,-51.566°,0°,,0°,0°,No,0,0,No,0°,0°,,d14ae246-b480-4184-be93-b01fd7a25bd4
2 Dimmer 00,CP60,1000W,19' ETC 6,,6,,6,1,1,Páholy,,,,,,-,1.8kg,Location,6.683m,-11.99m,7.516m,37.815°,52.712°,0°,,0°,0°,No,0,0,No,0°,0°,,d14ae246-b480-4184-be93-b01fd7a25bd4
2 Dimmer 00,CP60,1000W,26' ETC 7,,7,,7,1,1,Páholy,,,,,,-,1.8kg,Location,-6.683m,-9.985m,7.516m,40.107°,-49.274°,-0°,,0°,0°,No,0,0,No,0°,0°,,d14ae246-b480-4184-be93-b01fd7a25bd4
2 Dimmer 00,CP60,1000W,26' ETC 8,,8,,8,1,1,Páholy,,,,,,-,1.8kg,Location,6.683m,-10.063m,7.516m,41.253°,44.691°,0°,,0°,0°,No,0,0,No,0°,0°,,d14ae246-b480-4184-be93-b01fd7a25bd4
2 Dimmer 00,CP60,1000W,26' ETC 13,,13,,13,1,1,Páholy,,,,,,-,1.8kg,Location,-6.722m,-8.609m,7.516m,32.086°,-44.691°,-0°,,0°,0°,No,0,0,No,0°,0°,,d14ae246-b480-4184-be93-b01fd7a25bd4
2 Dimmer 00,CP60,1000W,26' ETC 14,,14,,14,1,1,Páholy,,,,,,-,1.8kg,Location,6.683m,-8.648m,7.516m,35.107°,45.843°,-5.17°,,0°,0°,No,0,0,No,0°,0°,,d14ae246-b480-4184-be93-b01fd7a25bd4
2 Dimmer 00,CP60,1000W,Zoom ETC 17,,17,,17,1,1,Páholy,,,,,,-,1.8kg,Location,-6.683m,-6.132m,7.516m,34.8°,-46.106°,-9.461°,,0°,0°,No,0,0,No,0°,0°,,d14ae246-b480-4184-be93-b01fd7a25bd4
2 Dimmer 00,CP60,1000W,Zoom ETC 18,,18,,18,1,1,Páholy,,,,,,-,1.8kg,Location,6.643m,-6.093m,7.516m,32.086°,50.42°,0°,,0°,0°,No,0,0,No,0°,0°,,d14ae246-b480-4184-be93-b01fd7a25bd4
2 Dimmer 00,CP60,1000W,Robert J. 19,,19,,19,1,1,Páholy,,,,,,-,1.8kg,Location,-6.683m,-7.272m,7.516m,25.21°,-50.42°,0°,,0°,0°,No,0,0,No,0°,0°,,d14ae246-b480-4184-be93-b01fd7a25bd4
2 Dimmer 00,CP60,1000W,Robert J. 20,,20,,20,1,1,Páholy,,,,,,-,1.8kg,Location,6.643m,-7.194m,7.516m,27.502°,52.712°,0°,,0°,0°,No,0,0,No,0°,0°,,d14ae246-b480-4184-be93-b01fd7a25bd4
2 Dimmer 00,CP60,1000W,Tspot 43,,43,,43,1,1,Elsőőö torony,,,,,,-,1.8kg,Location,-6.578m,-3.98m,4.08m,0°,-63.025°,0°,,0°,0°,No,0,0,No,0°,0°,,b00f5dd8-33e8-41d9-914c-e4bcaad28fdb
2 Dimmer 00,CP60,1000W,Tspot 44,,44,,44,1,1,Elsőőö torony,,,,,,-,1.8kg,Location,6.578m,-3.98m,4.08m,-0°,63.025°,-0°,,0°,0°,No,0,0,No,0°,0°,,b00f5dd8-33e8-41d9-914c-e4bcaad28fdb
2 Dimmer 00,CP60,1000W,Tspot 45,,45,,45,1,1,Elsőőö torony,,,,,,-,1.8kg,Location,-6.578m,-3.98m,5.035m,10.313°,-60.734°,-0°,,0°,0°,No,0,0,No,0°,0°,,b00f5dd8-33e8-41d9-914c-e4bcaad28fdb
2 Dimmer 00,CP60,1000W,Tspot 46,,46,,46,1,1,Elsőőö torony,,,,,,-,1.8kg,Location,6.578m,-3.98m,5.035m,10.313°,64.171°,0°,,0°,0°,No,0,0,No,0°,0°,,b00f5dd8-33e8-41d9-914c-e4bcaad28fdb
2 Dimmer 00,CP60,1000W,Tspot 47,,47,,47,1,1,Elsőőö torony,,,,,,-,1.8kg,Location,-6.607m,-3.98m,5.871m,24.445°,-62.225°,3.407°,,0°,0°,No,0,0,No,0°,0°,,b00f5dd8-33e8-41d9-914c-e4bcaad28fdb
2 Dimmer 00,CP60,1000W,Tspot 48,,48,,48,1,1,Elsőőö torony,,,,,,-,1.8kg,Location,6.578m,-3.98m,5.811m,22.918°,61.879°,-0°,,0°,0°,No,0,0,No,0°,0°,,b00f5dd8-33e8-41d9-914c-e4bcaad28fdb
2 Dimmer 00,CP60,1000W,90' Pacific 49,,49,,49,1,1,Elsőőö torony,,,,,,-,1.8kg,Location,-6.578m,-3.98m,8.019m,0°,-55.004°,0°,,0°,0°,No,0,0,No,0°,0°,,b00f5dd8-33e8-41d9-914c-e4bcaad28fdb
2 Dimmer 00,CP60,1000W,90' Pacific 50,,50,,50,1,1,Elsőőö torony,,,,,,-,1.8kg,Location,6.549m,-3.98m,8.019m,-0°,58.442°,-0°,,0°,0°,No,0,0,No,0°,0°,,b00f5dd8-33e8-41d9-914c-e4bcaad28fdb
2 Dimmer 00,CP60,1000W,50' ETC 75,,75,,75,1,1,Elsőőö torony,,,,,,-,1.8kg,Location,-6.578m,-3.98m,6.587m,0°,-60.734°,0°,,0°,0°,No,0,0,No,0°,0°,,b00f5dd8-33e8-41d9-914c-e4bcaad28fdb
2 Dimmer 00,CP60,1000W,50' ETC 76,,76,,76,1,1,Elsőőö torony,,,,,,-,1.8kg,Location,6.549m,-3.98m,6.527m,-0°,60.734°,-0°,,0°,0°,No,0,0,No,0°,0°,,b00f5dd8-33e8-41d9-914c-e4bcaad28fdb
2 Dimmer 00,CP60,1000W,50' ETC 77,,77,,77,1,1,Elsőőö torony,,,,,,-,1.8kg,Location,-6.578m,-3.98m,7.303m,0°,-61.879°,0°,,0°,0°,No,0,0,No,0°,0°,,b00f5dd8-33e8-41d9-914c-e4bcaad28fdb
2 Dimmer 00,CP60,1000W,50' ETC 78,,78,,78,1,1,Elsőőö torony,,,,,,-,1.8kg,Location,6.549m,-3.98m,7.243m,-0°,64.171°,-0°,,0°,0°,No,0,0,No,0°,0°,,b00f5dd8-33e8-41d9-914c-e4bcaad28fdb
2 Dimmer 00,CP60,1000W,Ch 21,,21,,21,1,1,Hátsó páholy,,,,,,-,1.8kg,Location,-6.607m,-1.85m,8.176m,0°,-49.274°,0°,,0°,0°,No,0,0,No,0°,0°,,c9c830ce-32d5-46f4-8f4a-6a3016a5ae70
2 Dimmer 00,CP60,1000W,Ch 22,,22,,22,1,1,Hátsó páholy,,,,,,-,1.8kg,Location,6.549m,-1.85m,8.176m,-0°,45.837°,-0°,,0°,0°,No,0,0,No,0°,0°,,c9c830ce-32d5-46f4-8f4a-6a3016a5ae70
2 Dimmer 00,CP60,1000W,Junior ETC 51,,51,,51,1,1,Hátsó páholy,,,,,,-,1.8kg,Location,-6.578m,3.939m,8.176m,0°,-42.399°,0°,,0°,0°,No,0,0,No,0°,0°,,c9c830ce-32d5-46f4-8f4a-6a3016a5ae70
2 Dimmer 00,CP60,1000W,Junior ETC 52,,52,,52,1,1,Hátsó páholy,,,,,,-,1.8kg,Location,6.549m,3.939m,8.176m,-0°,42.399°,-0°,,0°,0°,No,0,0,No,0°,0°,,c9c830ce-32d5-46f4-8f4a-6a3016a5ae70
2 Dimmer 00,CP60,1000W,Ch 85,,85,,85,1,1,Hátsó páholy,,,,,,-,1.8kg,Location,-6.607m,-1.074m,8.176m,0°,-42.399°,0°,,0°,0°,No,0,0,No,0°,0°,,c9c830ce-32d5-46f4-8f4a-6a3016a5ae70
2 Dimmer 00,CP60,1000W,Ch 86,,86,,86,1,1,Hátsó páholy,,,,,,-,1.8kg,Location,6.549m,-1.074m,8.176m,-0°,38.961°,-0°,,0°,0°,No,0,0,No,0°,0°,,c9c830ce-32d5-46f4-8f4a-6a3016a5ae70
2 Dimmer 00,CP60,1000W,Ch 87,,87,,87,1,1,Hátsó páholy,,,,,,-,1.8kg,Location,-6.578m,1.014m,8.176m,0°,-36.669°,0°,,0°,0°,No,0,0,No,0°,0°,,c9c830ce-32d5-46f4-8f4a-6a3016a5ae70
2 Dimmer 00,CP60,1000W,Ch 88,,88,,88,1,1,Hátsó páholy,,,,,,-,1.8kg,Location,6.549m,1.014m,8.176m,-0°,34.377°,-0°,,0°,0°,No,0,0,No,0°,0°,,c9c830ce-32d5-46f4-8f4a-6a3016a5ae70
2 Dimmer 00,CP60,1000W,Tspot 67,,67,,67,1,1,Hátsó torony,,,,,,-,1.8kg,Location,-5.004m,4.753m,3.97m,0°,-60°,0°,,0°,0°,No,0,0,No,0°,0°,,6d33e875-8dea-42d9-beb3-c33583bd72e1
2 Dimmer 00,CP60,1000W,Tspot 68,,68,,68,1,1,Hátsó torony,,,,,,-,1.8kg,Location,4.989m,4.753m,3.961m,-0°,60°,-0°,,0°,0°,No,0,0,No,0°,0°,,6d33e875-8dea-42d9-beb3-c33583bd72e1
2 Dimmer 00,CP60,1000W,Tspot 69,,69,,69,1,1,Hátsó torony,,,,,,-,1.8kg,Location,-4.989m,4.753m,5.953m,0°,-50°,0°,,0°,0°,No,0,0,No,0°,0°,,6d33e875-8dea-42d9-beb3-c33583bd72e1
2 Dimmer 00,CP60,1000W,Tspot 70,,70,,70,1,1,Hátsó torony,,,,,,-,1.8kg,Location,4.97m,4.753m,5.946m,-0°,50°,-0°,,0°,0°,No,0,0,No,0°,0°,,6d33e875-8dea-42d9-beb3-c33583bd72e1
